IRIS;LIBIRIS;COM;LIBCOM;DEC_PIMP14;DEC_TP6014;DEC_Q114;DEC_MED14;DEC_Q314;DEC_EQ14;DEC_D114;DEC_D214;DEC_D314;DEC_D414;DEC_D614;DEC_D714;DEC_D814;DEC_D914;DEC_RD14;DEC_S80S2014;DEC_GI14;DEC_PTSA14;DEC_PCHO14;DEC_PBEN14;DEC_PPEN14;DEC_PAUT14;note
10040101;Les Perouses-Triangle d'Activite;1004;Amb_rieu-en-Bugey;50,3;30,3;10212;17774;24860;0,8;5242;8842;11724;14710;19900;23292;26800;31954;6,1;7,6;0,3;61,6;3,4;1,9;29,6;3,5;0
10040102;Longeray-Gare;1004;Amb_rieu-en-Bugey;47;36,1;9120;15592;22822;0,9;4166;7566;10526;13170;18334;21306;24802;29755;7,1;9,3;0,4;61,9;4,4;1,6;28,4;3,7;0
10040201;Centre-St Germain-Vareilles;1004;Amb_rieu-en-Bugey;55,1;27,1;11732;18522;25554;0,7;6592;10056;13238;15864;21158;24004;27534;34210;5,2;6,9;0,3;61,1;3,5;3,8;27,4;4,2;0
10040202;Tiret-Les Allymes;1004;Amb_rieu-en-Bugey;69,8;11,2;16882;23658;32044;0,6;11510;15276;18300;20988;26512;29920;34062;41836;3,6;5;0,3;61,9;2,3;5;24,3;6,5;0
10330101;Coupy-Vanchy;1033;Bellegarde-sur-Valserine;46,6;28,7;11504;19634;30072;0,9;6860;10052;12742;16182;23710;27818;34878;46282;6,7;8,1;0,4;68,8;3,8;1,5;23,3;2,6;0
10330102;Centre Ville;1033;Bellegarde-sur-Valserine;44,5;29,2;11158;18400;26892;0,9;5570;9996;12502;15518;21886;24814;29504;38696;6,9;9;0,4;62,9;4,4;2,8;26,3;3,6;0
10330201;Arc Vouvray-Gare-Chatillon;1033;Bellegarde-sur-Valserine;54,3;19,7;14236;22492;33278;0,8;7244;12254;15844;19098;25604;30366;36724;47604;6,6;8,2;0,4;65,3;3,5;4,4;24,5;2,3;0
10330202;Plateau de Musinens;1033;Bellegarde-sur-Valserine;45;35;9554;16364;24872;0,9;4906;8170;11042;13404;19536;23254;27566;36084;7,4;9,5;0,4;63,4;4,9;1,4;28,6;1,7;0
10330301;Arlod;1033;Bellegarde-sur-Valserine;44;26,6;11494;18696;27152;0,8;6954;10224;13180;15806;21666;24968;30394;37732;5,4;6,6;0,3;70;6;0,9;20;3,1;0
10530101;Centre-Ville;1053;Bourg-en-Bresse;51,5;27;11496;17686;26338;0,8;4324;9350;12822;15468;20662;24016;29870;39416;9,1;11,2;0,4;59,8;4,4;5,2;22;8,6;0
10530102;Champ-de-Foire;1053;Bourg-en-Bresse;57,5;23,4;12665;19666;28241;0,8;6730;10658;14410;17026;22680;26209;30508;38508;5,7;8,1;0,4;47,3;3;3,5;40,8;5,4;0
10530103;Prefecture;1053;Bourg-en-Bresse;58,5;22,8;13328;21186;32384;0,9;6142;10686;14940;18036;24910;29832;36904;52924;8,6;12,1;0,4;54,5;2,5;8,8;27,7;6,5;0
10530201;Citadelle;1053;Bourg-en-Bresse;56,9;24,3;12254;18942;26596;0,8;5884;10610;13626;16778;21638;24616;28388;35960;6,1;8,4;0,4;57,1;3,1;2,5;34;3,3;0
10530202;Mail;1053;Bourg-en-Bresse;44,2;40,1;8370;15154;22500;0,9;3258;6920;9424;12140;17548;20622;24278;30990;9,5;11,9;0,4;62,2;4,5;3;27,4;2,9;0
10530203;Peloux;1053;Bourg-en-Bresse;58,8;28,6;11220;19298;27462;0,8;5576;9762;12740;16360;22382;25576;29502;35042;6,3;7,3;0,3;60,2;2,8;2,1;32;2,9;0
10530301;Gare;1053;Bourg-en-Bresse;66,6;16;15678;22740;32234;0,7;8836;13986;17166;20008;26058;29586;35876;46654;5,3;7;0,4;60,2;2,7;4,2;27,1;5,8;0
10530302;Brou;1053;Bourg-en-Bresse;56,3;27;11702;18724;26134;0,8;5648;9750;13258;16042;21430;24372;28774;37446;6,6;8,7;0,4;61,3;3,4;3,7;28,2;3,4;0
10530401;Vennes-Ouest;1053;Bourg-en-Bresse;48,9;29,8;11012;17992;25222;0,8;5702;9514;12382;15024;20374;23488;27054;33362;5,9;8;0,4;50,7;3,2;4,8;38;3,3;0
10530402;Vennes-Est;1053;Bourg-en-Bresse;65,1;16,3;14842;21307;28474;0,6;9412;13466;16098;18756;23920;26650;30424;38406;4,1;5,1;0,3;59,7;2,7;2,5;31,5;3,6;0
10530501;Baudieres;1053;Bourg-en-Bresse;67,8;17,1;15160;22966;31982;0,7;9238;13624;16898;20202;25538;29614;34496;43452;4,7;6,3;0,3;48,6;1,3;4,6;41,4;4,1;0
10530502;Sardieres;1053;Bourg-en-Bresse;58;21,7;13486;19904;28156;0,7;7908;11622;14828;17342;22530;26196;30634;39114;4,9;7,5;0,4;54,7;2,3;5,5;31,8;5,7;0
10530503;Croix-Blanche;1053;Bourg-en-Bresse;27,9;57,8;6000;10616;16858;1;1240;5068;6746;8604;12926;15410;18744;22738;18,3;15,8;0,4;59,5;7;2,4;28,5;2,6;0
10530601;Pont-des-Chevres;1053;Bourg-en-Bresse;40,5;52;6498;11714;19592;1,1;2642;5450;7574;9312;14646;17480;21612;27068;10,2;13,3;0,4;51,6;5,5;1,1;39,4;2,4;0
10530602;Reyssouze-Ouest;1053;Bourg-en-Bresse;35,2;53,5;6288;11584;18374;1;2992;5392;7526;9668;14230;17016;20268;24828;8,3;10,9;0,4;49,9;4,9;0,9;41,8;2,5;0
10530603;Reyssouze-Est;1053;Bourg-en-Bresse;;;5184;9136;15414;1,1;660;3876;6248;7636;11206;13824;17018;19946;30,2;17,6;0,4;;;;;;0
10530604;Cenord-Grand-Challes;1053;Bourg-en-Bresse;62;21,2;13864;20566;28236;0,7;8628;11828;15514;17902;23346;26952;29808;35264;4,1;5;0,3;49,4;2,6;2,5;41,5;4;0
10530701;Granges-Bardes-Alagnier;1053;Bourg-en-Bresse;61,8;24;12892;19320;25520;0,7;6314;10650;14236;16876;21248;23982;27678;33604;5,3;7,3;0,3;65,7;2,9;2,2;26,3;2,9;0
12830102;Zus Centre;1283;Oyonnax;27,9;54,6;7326;11582;16934;0,8;3464;6058;8364;9462;13268;15458;18358;22622;6,5;7,5;0,3;61,1;8,3;0,4;29,1;1,1;0
12830103;Zus Nord Est;1283;Oyonnax;35,7;46;8432;13100;18404;0,8;4444;7633;9084;11059;14958;16928;20012;24786;5,6;7;0,3;56,4;5,9;0,8;35;1,9;0
12830104;Zus Ouest;1283;Oyonnax;24,6;60,6;5770;10058;15800;1;2526;4868;6550;8102;11910;14740;17492;21310;8,4;11;0,4;62,6;8,1;2,6;25,7;1;0
12830201;Ville Sud;1283;Oyonnax;53,7;29,1;10986;17213;24390;0,8;6686;9510;12492;15126;20124;22960;26650;33826;5,1;8,3;0,4;52,7;3,6;1,8;31,8;10,1;0
12830202;Ville Est;1283;Oyonnax;51,4;29,8;10454;17036;23742;0,8;5970;8926;12302;14796;19264;22246;25938;31668;5,3;7,6;0,3;59,2;3,9;2,8;29,5;4,6;0
12830203;Nierme et Geilles;1283;Oyonnax;38;46,6;7942;13052;20110;0,9;4518;6844;8742;10490;15758;18722;22334;29928;6,6;8,8;0,4;51,9;5,9;3,7;34,1;4,4;0
12830301;Ville Ouest;1283;Oyonnax;49,6;31,7;10136;16840;23602;0,8;5874;8710;11758;14692;19052;21838;26084;33466;5,7;7,9;0,4;60,5;4,9;3,1;28,5;3;0
12830303;Ville Nord;1283;Oyonnax;53,3;31,9;10136;17442;23966;0,8;4976;8820;11710;14874;19782;22396;26024;33472;6,7;8,5;0,4;60,7;4,2;3,9;26,2;5;0
12830304;Exterieur Est;1283;Oyonnax;54,7;24,3;12460;18512;24896;0,7;5942;10824;13826;16320;20910;23494;27210;34468;5,8;7,9;0,4;63;4,4;4,1;23,4;5,1;0
12830305;Veyziat;1283;Oyonnax;78,2;;19758;25586;34410;0,6;14398;18020;21204;22912;28384;31474;38244;45916;3,2;5;0,3;60,8;1,8;4;24;9,4;0
21680101;centre;2168;Ch‰teau-Thierry;48,5;34,1;9350;16250;23230;0,9;4312;8010;10792;13604;18740;21678;25302;32104;7,4;10,5;0,4;59,3;4,2;5,5;26,3;4,7;0
21680201;Chesneaux;2168;Ch‰teau-Thierry;62;22,1;13640;20384;27752;0,7;7458;11424;14814;17818;22578;25856;29580;39618;5,3;7,4;0,4;54;3;8,8;27,4;6,8;0
21680401;Mare Aubry;2168;Ch‰teau-Thierry;53;26;11872;18346;25416;0,7;6750;10324;13310;15731;20558;23710;27582;36074;5,3;7,1;0,3;55,8;3,6;3,4;32;5,2;0
21680501;Vaucrises;2168;Ch‰teau-Thierry;;;4932;9452;16306;1,2;906;4090;5966;7662;12590;14620;18156;22110;24,4;16,5;0,4;;;;;;0
21680601;Gerbrois-St Martin-Le Buisson-Vincelles;2168;Ch‰teau-Thierry;64,9;17;15213;22252;30426;0,7;9724;13448;16422;19296;24922;28518;32970;41856;4,3;6;0,3;48,8;2,8;7,7;35,9;4,8;0
21680701;Blanchard;2168;Ch‰teau-Thierry;;;8578;15698;22368;0,9;2454;6814;9846;12682;18400;20804;24428;30386;12,4;12,2;0,4;57,6;5;3,7;31,6;2,1;0
21730101;Nord-Ouest;2173;Chauny;33;51,7;5354;11810;19226;1,2;454;3468;7020;9336;14470;17400;21162;26146;57,6;32,2;0,4;53,3;5,2;1,7;37,9;1,9;0
21730201;Sud-Ouest;2173;Chauny;46,1;34,3;9598;16536;23274;0,8;3404;7770;11238;13894;18696;21320;25834;32326;9,5;11,5;0,4;52,4;4,1;4,8;34,2;4,5;0
21730301;Nord-Est;2173;Chauny;55;28,1;11302;18642;25712;0,8;5366;9384;12900;16412;21284;24018;28024;36524;6,8;9,7;0,4;54,7;2,8;8;31,2;3,3;0
24080101;Saint-Exupery-Moulin Roux;2408;Laon;26,5;64,1;2444;7886;16072;1,7;0;1054;3394;5534;10905;14406;18138;23242;;156,2;0,5;;;;;;0
24080102;Centre Social;2408;Laon;;83,4;432;5798;10374;1,7;0;76;1532;3556;7206;8902;11338;15642;;15321;0,5;;;;;;0
24080103;La Fontaine;2408;Laon;35,3;60;1786;8250;18228;2;0;836;2654;5596;11960;16588;19934;27716;;338,7;0,5;;;;;;0
24080201;Cite du Nord;2408;Laon;45,9;37,6;8450;15500;22046;0,9;3024;7318;9984;12846;18030;20562;23858;30482;10,1;10,3;0,4;54,3;3,5;3,2;36,5;2,5;0
24080301;Gare Saint-Marcel;2408;Laon;50,8;29,1;11052;18468;26351;0,8;4402;8550;12522;15258;21066;24300;28992;37937;8,6;12,1;0,4;49,3;3;6,8;35,4;5,5;0
24080401;Individuels;2408;Laon;;;12992;20530;30634;0,9;7410;10816;14324;17595;23632;27878;34234;42480;5,7;7;0,4;52,7;2,1;4,6;35,5;5,1;0
24080402;Prevert Maraichers;2408;Laon;36,9;43;7978;13956;19682;0,8;2360;6758;9044;11592;16200;18122;20962;25334;10,7;10,4;0,4;61;7,1;1,2;30;0,7;0
24080501;Plateau;2408;Laon;50;34,2;8294;17878;28546;1,1;806;6184;10482;13992;21864;25834;32656;43790;54,3;26,4;0,5;59,7;3,8;10,4;21,7;4,4;0
24080601;Vaux;2408;Laon;51,6;30,1;10260;17706;24588;0,8;4822;8810;12140;14852;20347;23236;26204;32070;6,7;8,6;0,3;55,5;4;4,1;33,2;3,2;0
24080801;Montreuil-La Neuville-Marquette;2408;Laon;43,2;42,1;6746;14274;22470;1,1;1692;5328;8610;11668;17624;20858;24252;30628;18,1;18,2;0,4;53,5;4,3;3,1;36,7;2,4;0
24080901;Ardon-Leuilly-Semilly;2408;Laon;62,5;15,9;15068;21386;29900;0,7;9130;13618;16374;18824;23756;27348;33014;44204;4,8;6,4;0,3;57,1;2,4;5,6;30,3;4,6;0
26910101;centre ville 1;2691;Saint-Quentin;55,9;26,2;11292;20934;33966;1,1;3610;9018;13696;17258;24366;30002;37924;56396;15,6;19;0,5;49,8;2,8;17,5;23,2;6,7;0
26910102;centre ville 2;2691;Saint-Quentin;58,8;23,5;13184;23470;40440;1,2;3592;10196;14808;18502;29348;35626;44970;64756;18;21,3;0,5;48,6;2,5;17,9;22,7;8,3;0
